#Sample_ID,Groups,Library Name,Runs,Dataset,Block
SRR17519997,HC,Control8,SRR17519997,Healthy Control3,C
SRR17520008,HC,Control7,SRR17520008,Healthy Control3,C
SRR17520009,HC,Control60,SRR17520009,Healthy Control3,C
SRR17520010,HC,Control59,SRR17520010,Healthy Control3,C
SRR17520011,HC,Control58,SRR17520011,Healthy Control3,C
SRR17520012,HC,Control57,SRR17520012,Healthy Control3,C
SRR17520013,HC,Control56,SRR17520013,Healthy Control3,C
SRR17520014,HC,Control55,SRR17520014,Healthy Control3,C
SRR17520015,HC,Control54,SRR17520015,Healthy Control3,C
SRR17520016,HC,Control53,SRR17520016,Healthy Control3,C
SRR17520017,HC,Control52,SRR17520017,Healthy Control3,C
SRR17520018,HC,Control51,SRR17520018,Healthy Control3,C
SRR17520019,HC,Control6,SRR17520019,Healthy Control3,C
SRR17520020,HC,Control50,SRR17520020,Healthy Control3,C
SRR17520021,HC,Control49,SRR17520021,Healthy Control3,C
SRR17520022,HC,Control48,SRR17520022,Healthy Control3,C
SRR17520023,HC,Control47,SRR17520023,Healthy Control3,C
SRR17520024,HC,Control46,SRR17520024,Healthy Control3,C
SRR17520025,HC,Control45,SRR17520025,Healthy Control3,C
SRR17520026,HC,Control44,SRR17520026,Healthy Control3,C
SRR17520027,HC,Control43,SRR17520027,Healthy Control3,C
SRR17520028,HC,Control42,SRR17520028,Healthy Control3,C
SRR17520029,HC,Control10,SRR17520029,Healthy Control3,C
SRR17520030,HC,Control9,SRR17520030,Healthy Control3,C
SRR17520033,HC,Control41,SRR17520033,Healthy Control3,C
SRR17520034,HC,Control5,SRR17520034,Healthy Control3,C
SRR17520035,HC,Control40,SRR17520035,Healthy Control3,C
SRR17520036,HC,Control39,SRR17520036,Healthy Control3,C
SRR17520037,HC,Control38,SRR17520037,Healthy Control3,C
SRR17520038,HC,Control37,SRR17520038,Healthy Control3,C
SRR17520039,HC,Control36,SRR17520039,Healthy Control3,C
SRR17520040,HC,Control35,SRR17520040,Healthy Control3,C
SRR17520041,HC,Control34,SRR17520041,Healthy Control3,C
SRR17520042,HC,Control33,SRR17520042,Healthy Control3,C
SRR17520043,HC,Control32,SRR17520043,Healthy Control3,C
SRR17520044,HC,Control31,SRR17520044,Healthy Control3,C
SRR17520045,HC,Control4,SRR17520045,Healthy Control3,C
SRR17520046,HC,Control30,SRR17520046,Healthy Control3,C
SRR17520047,HC,Control29,SRR17520047,Healthy Control3,C
SRR17520048,HC,Control28,SRR17520048,Healthy Control3,C
SRR17520049,HC,Control27,SRR17520049,Healthy Control3,C
SRR17520050,HC,Control26,SRR17520050,Healthy Control3,C
SRR17520051,HC,Control25,SRR17520051,Healthy Control3,C
SRR17520052,HC,Control24,SRR17520052,Healthy Control3,C
SRR17520053,HC,Control23,SRR17520053,Healthy Control3,C
SRR17520054,HC,Control22,SRR17520054,Healthy Control3,C
SRR17520055,HC,Control21,SRR17520055,Healthy Control3,C
SRR17520056,HC,Control3,SRR17520056,Healthy Control3,C
SRR17520057,HC,Control20,SRR17520057,Healthy Control3,C
SRR17520058,HC,Control19,SRR17520058,Healthy Control3,C
SRR17520059,HC,Control18,SRR17520059,Healthy Control3,C
SRR17520060,HC,Control17,SRR17520060,Healthy Control3,C
SRR17520061,HC,Control16,SRR17520061,Healthy Control3,C
SRR17520062,HC,Control15,SRR17520062,Healthy Control3,C
SRR17520063,HC,Control14,SRR17520063,Healthy Control3,C
SRR17520064,HC,Control13,SRR17520064,Healthy Control3,C
SRR17520065,HC,Control12,SRR17520065,Healthy Control3,C
SRR17520066,HC,Control11,SRR17520066,Healthy Control3,C
SRR17520067,HC,Control2,SRR17520067,Healthy Control3,C
SRR17520068,HC,Control1,SRR17520068,Healthy Control3,C
SRR17519993,OP,Patient14,SRR175199931,Osteoporosis3,C
SRR17519994,OP,Patient13,SRR17519994,Osteoporosis3,C
SRR17519995,OP,Patient12,SRR17519995,Osteoporosis3,C
SRR17519996,OP,Patient11,SRR17519996,Osteoporosis3,C
SRR17519998,OP,Patient10,SRR17519998,Osteoporosis3,C
SRR17519999,OP,Patient9,SRR17519999,Osteoporosis3,C
SRR17520000,OP,Patient8,SRR17520000,Osteoporosis3,C
SRR17520001,OP,Patient7,SRR17520001,Osteoporosis3,C
SRR17520002,OP,Patient6,SRR17520002,Osteoporosis3,C
SRR17520003,OP,Patient5,SRR17520003,Osteoporosis3,C
SRR17520004,OP,Patient4,SRR17520004,Osteoporosis3,C
SRR17520005,OP,Patient3,SRR17520005,Osteoporosis3,C
SRR17520006,OP,Patient2,SRR17520006,Osteoporosis3,C
SRR17520007,OP,Patient1,SRR17520007,Osteoporosis3,C
SRR17520031,OP,Patient16,SRR17520031,Osteoporosis3,C
SRR17520032,OP,Patient15,SRR17520032,Osteoporosis3,C